,movie_name,released_year,duration,certificate_type,rating,rating_count,directors,writers,actors
94,The Hunt,2012,1h 55m,R,8.3,365K,['Thomas Vinterberg '],"['Thomas Vinterberg ', 'Tobias Lindholm ']","['Mads Mikkelsen ', 'Thomas Bo Larsen ', 'Annika Wedderkopp ']"
95,Oppenheimer,2023,3h,R,8.3,734K,['Christopher Nolan '],"['Christopher Nolan ', 'Kai Bird ', 'Martin Sherwin ']","['Cillian Murphy ', 'Emily Blunt ', 'Matt Damon ']"
96,2001: A Space Odyssey,1968,2h 29m,G,8.3,720K,['Stanley Kubrick '],"['Stanley Kubrick ', 'Arthur C. Clarke ']","['Keir Dullea ', 'Gary Lockwood ', 'William Sylvester ']"
97,Reservoir Dogs,1992,1h 39m,R,8.3,1.1M,['Quentin Tarantino '],"['Quentin Tarantino ', 'Roger Avary ']","['Harvey Keitel ', 'Tim Roth ', 'Michael Madsen ']"
98,Ikiru,1952,2h 23m,Not Rated,8.3,88K,['Akira Kurosawa '],"['Akira Kurosawa ', 'Shinobu Hashimoto ', 'Hideo Oguni ']","['Takashi Shimura ', 'Nobuo Kaneko ', ""Shin'ichi Himori ""]"
99,Lawrence of Arabia,1962,3h 38m,PG,8.3,315K,['David Lean '],"['Robert Bolt ', 'Michael Wilson ']","[""Peter O'Toole "", 'Alec Guinness ', 'Anthony Quinn ']"
100,The Apartment,1960,2h 5m,Approved,8.3,197K,['Billy Wilder '],"['Billy Wilder ', 'I.A.L. Diamond ']","['Jack Lemmon ', 'Shirley MacLaine ', 'Fred MacMurray ']"
101,North by Northwest,1959,2h 16m,Approved,8.3,346K,['Alfred Hitchcock '],['Ernest Lehman '],"['Cary Grant ', 'Eva Marie Saint ', 'James Mason ']"
102,Incendies,2010,2h 11m,R,8.3,201K,['Denis Villeneuve '],"['Denis Villeneuve ', 'Wajdi Mouawad ', 'Valérie Beaugrand-Champagne ']","['Lubna Azabal ', 'Mélissa Désormeaux-Poulin ', 'Maxim Gaudette ']"
103,Citizen Kane,1941,1h 59m,PG,8.3,466K,['Orson Welles '],"['Herman J. Mankiewicz ', 'Orson Welles ', 'John Houseman ']","['Orson Welles ', 'Joseph Cotten ', 'Dorothy Comingore ']"
104,Vertigo,1958,2h 8m,PG,8.3,427K,['Alfred Hitchcock '],"['Alec Coppel ', 'Samuel A. Taylor ', 'Pierre Boileau ']","['James Stewart ', 'Kim Novak ', 'Barbara Bel Geddes ']"
105,M,1931,1h 39m,Passed,8.3,169K,['Fritz Lang '],"['Thea von Harbou ', 'Fritz Lang ', 'Egon Jacobsohn ']","['Peter Lorre ', 'Ellen Widmann ', 'Inge Landgut ']"
106,Double Indemnity,1944,1h 47m,Approved,8.3,168K,['Billy Wilder '],"['Billy Wilder ', 'Raymond Chandler ', 'James M. Cain ']","['Fred MacMurray ', 'Barbara Stanwyck ', 'Edward G. Robinson ']"
107,Scarface,1983,2h 50m,R,8.3,917K,['Brian De Palma '],"['Oliver Stone ', 'Howard Hawks ', 'Ben Hecht ']","['Al Pacino ', 'Michelle Pfeiffer ', 'Steven Bauer ']"
108,Full Metal Jacket,1987,1h 56m,R,8.3,791K,['Stanley Kubrick '],"['Stanley Kubrick ', 'Michael Herr ', 'Gustav Hasford ']","['Matthew Modine ', 'R. Lee Ermey ', ""Vincent D'Onofrio ""]"
109,Amélie,2001,2h 2m,R,8.3,795K,['Jean-Pierre Jeunet '],"['Guillaume Laurant ', 'Jean-Pierre Jeunet ']","['Audrey Tautou ', 'Mathieu Kassovitz ', 'Rufus ']"
110,Heat,1995,2h 50m,R,8.3,720K,['Michael Mann '],['Michael Mann '],"['Al Pacino ', 'Robert De Niro ', 'Val Kilmer ']"
111,A Clockwork Orange,1971,2h 16m,R,8.3,882K,['Stanley Kubrick '],"['Stanley Kubrick ', 'Anthony Burgess ']","['Malcolm McDowell ', 'Patrick Magee ', 'Michael Bates ']"
112,Up,2009,1h 36m,PG,8.3,1.1M,"['Pete Docter ', 'Bob Peterson ']","['Pete Docter ', 'Bob Peterson ', 'Tom McCarthy ']","['Edward Asner ', 'Jordan Nagai ', 'John Ratzenberger ']"
113,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,333K,['Robert Mulligan '],"['Harper Lee ', 'Horton Foote ']","['Gregory Peck ', 'John Megna ', 'Frank Overton ']"
114,A Separation,2011,2h 3m,PG-13,8.3,259K,['Asghar Farhadi '],['Asghar Farhadi '],"['Payman Maadi ', 'Leila Hatami ', 'Sareh Bayat ']"
115,The Sting,1973,2h 9m,PG,8.3,280K,['George Roy Hill '],['David S. Ward '],"['Paul Newman ', 'Robert Redford ', 'Robert Shaw ']"
116,Die Hard,1988,2h 12m,R,8.2,946K,['John McTiernan '],"['Roderick Thorp ', 'Jeb Stuart ', 'Steven E. de Souza ']","['Bruce Willis ', 'Alan Rickman ', 'Bonnie Bedelia ']"
117,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,812K,['Steven Spielberg '],"['Jeffrey Boam ', 'George Lucas ', 'Menno Meyjes ']","['Harrison Ford ', 'Sean Connery ', 'Alison Doody ']"
118,Metropolis,1927,2h 33m,Not Rated,8.3,186K,['Fritz Lang '],"['Thea von Harbou ', 'Fritz Lang ']","['Brigitte Helm ', 'Alfred Abel ', 'Gustav Fröhlich ']"
119,Like Stars on Earth,2007,2h 42m,PG,8.3,207K,"['Aamir Khan ', 'Amole Gupte ']",['Amole Gupte '],"['Darsheel Safary ', 'Aamir Khan ', 'Tisca Chopra ']"
120,Snatch,2000,1h 42m,R,8.2,912K,['Guy Ritchie '],['Guy Ritchie '],"['Jason Statham ', 'Brad Pitt ', 'Stephen Graham ']"
121,Hamilton,2020,2h 40m,PG-13,8.3,114K,['Thomas Kail '],"['Lin-Manuel Miranda ', 'Ron Chernow ']","['Lin-Manuel Miranda ', 'Phillipa Soo ', 'Leslie Odom Jr. ']"
122,L,1997,2h 18m,R,8.2,618K,['Curtis Hanson '],"['James Ellroy ', 'Brian Helgeland ', 'Curtis Hanson ']","['Kevin Spacey ', 'Russell Crowe ', 'Guy Pearce ']"
